collected_at_utc,source_type,company,title,location,team,url,external_id,posted_at,description_snippet
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,twosixtechnologies?error=true,Jobs at Two Six Technologies,,,https://job-boards.greenhouse.io/twosixtechnologies?error=true,ddg::https://job-boards.greenhouse.io/twosixtechnologies?error=true,,"DevOps/SystemsEngineer. Chantilly, Virginia. ISSO.Linux Kernel Developer. Remote, USA. MechanicalEngineer. Arlington, Virginia."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,captivation?error=true,Jobs at Captivation Software,,,https://job-boards.greenhouse.io/captivation?error=true,ddg::https://job-boards.greenhouse.io/captivation?error=true,,"SoftwareEngineer1 - Go/Python/Terraform/AWS. Annapolis Junction, MD. SoftwareEngineer1 - Java/MapReduce/Cloud/GhostMachine/QTA.SystemsEngineer3 (Hybrid) -DevOps."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,cobaltio,"Job Application forDevOpsEngineer, US at Cobalt",,,https://job-boards.greenhouse.io/cobaltio/jobs/7968513002,ddg::https://job-boards.greenhouse.io/cobaltio/jobs/7968513002,,Join our innovative team as aDevOpsEngineerand be a pivotal part of Cobalt's journey in redefining cybersecurity.
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,gongio,Job Application for DevOps Engineer at Gong.io,,,https://job-boards.greenhouse.io/gongio/jobs/4668017006,ddg::https://job-boards.greenhouse.io/gongio/jobs/4668017006,,9 hours ago·DevOps Engineer. New York City. Apply. Gong harnesses the power of AI to transform how revenue teams win. The Gong Revenue AI Operating System unifies data ...
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,xohealthinc,Job Application for Senior ServiceNow Engineer at XO Health Inc.,,,https://job-boards.greenhouse.io/xohealthinc/jobs/5100218007,ddg::https://job-boards.greenhouse.io/xohealthinc/jobs/5100218007,,"8 hours ago·DevOps: Jenkins Engineer, Azure DevOps Engineer. Full compensation packages are based on candidate experience and relevant certifications. ₹3,000,000 ..."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,gitlab,"SeniorSiteReliabilityEngineer, Environment Automation",,,https://job-boards.greenhouse.io/gitlab/jobs/8282465002,ddg::https://job-boards.greenhouse.io/gitlab/jobs/8282465002,,"As aSiteReliabilityEngineer(SRE) at GitLab, you’ll help keep all user-facing services and production systems reliable, scalable, and efficient."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,geotab,Jobs at Geotab,,,https://job-boards.greenhouse.io/geotab,ddg::https://job-boards.greenhouse.io/geotab,,"SRE. Job.SiteReliabilityEngineer.SiteReliabilityEngineering. Atlanta, Georgia - USA; Detroit, Michigan - USA."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,galaxydigitalservices,Jobs at Galaxy,,,https://job-boards.greenhouse.io/galaxydigitalservices,ddg::https://job-boards.greenhouse.io/galaxydigitalservices,,"SiteReliabilityEngineer(SRE) New. Hong Kong. Software Engineer, Core Systems and Custody.BlockchainSRE(Solana)- Associate/Vice President."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,chowbus,Jobs at Chowbus,,,https://job-boards.greenhouse.io/chowbus,ddg::https://job-boards.greenhouse.io/chowbus,,"SiteReliabilityEngineer(SRE)_ Mandarin Speaking. Chicago, Illinois, United States."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,blockdaemon,Jobs at Blockdaemon,,,https://job-boards.greenhouse.io/blockdaemon,ddg::https://job-boards.greenhouse.io/blockdaemon,,Job.SiteReliabilityEngineer(SRE) - EMEA.
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,mxbuildtechnologiesindiaprivatelimited,Senior Cloud Platform Engineer,,,https://job-boards.greenhouse.io/mxbuildtechnologiesindiaprivatelimited/jobs/4204789009,ddg::https://job-boards.greenhouse.io/mxbuildtechnologiesindiaprivatelimited/jobs/4204789009,,"14 hours ago·Advanced understanding of SRE practices, including SLIs/SLOs, chaos engineering, and reliability engineering frameworks. Experience leveraging AI and automation ..."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,wavelo,Job Application for Database Engineer at Wavelo,,,https://job-boards.greenhouse.io/wavelo/jobs/7691414003,ddg::https://job-boards.greenhouse.io/wavelo/jobs/7691414003,,"2 hours ago·You'll work closely with SRE, Platform, and Engineering teams to ensure performance, reliability, automation, and operational excellence across the database ..."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,axle,Job Application for Computer Programmer at Axle,,,https://job-boards.greenhouse.io/axle/jobs/5099411007,ddg::https://job-boards.greenhouse.io/axle/jobs/5099411007,,"8 hours ago·Must have 4+ years in DevOps / SRE roles supporting production systems. Must have 4+ years with CI/CD and automation tools such as Terraform, Ansible, Chef, ..."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,life360,Job Application for Senior Backend Engineer II,,,https://job-boards.greenhouse.io/life360/jobs/8482257002,ddg::https://job-boards.greenhouse.io/life360/jobs/8482257002,,"4 hours ago·Knowledge of SRE practices and automated testing frameworks. Our Benefits. Competitive pay and benefits. Medical, dental, vision, life and disability ..."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,kivaorg,Job Application for Fullstack Platform Engineer at Kiva.org,,,https://job-boards.greenhouse.io/kivaorg/jobs/7782356?gh_jid=7782356,ddg::https://job-boards.greenhouse.io/kivaorg/jobs/7782356?gh_jid=7782356,,"5 hours ago·Fullstack Platform Engineer. Bogota, Colombia. Apply. About us: Kiva is a global nonprofit, founded in 2005, with a mission to expand financial access and help ..."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,reltio,Job Application for Senior Engineer at Reltio,,,https://job-boards.greenhouse.io/reltio/jobs/5819667004,ddg::https://job-boards.greenhouse.io/reltio/jobs/5819667004,,"1 hour ago·Core Platform development is spread across multiple cross-functional teams, each building large and complex components of the MDM platform. Engineer plays ..."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,blackcanyonconsulting,Job Application forPlatformEngineer(DataOps) at NIH-NCBI,,,https://job-boards.greenhouse.io/blackcanyonconsulting/jobs/5754387003,ddg::https://job-boards.greenhouse.io/blackcanyonconsulting/jobs/5754387003,,Black Canyon Consulting (BCC) is searching forPlatformEngineer(DataOps) to support our work for the National Center for Biotechnology Information (NCBI)...
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,defenseunicorns?error=true,Jobs at Defense Unicorns,,,https://job-boards.greenhouse.io/defenseunicorns?error=true,ddg::https://job-boards.greenhouse.io/defenseunicorns?error=true,,PlatformEngineer- Customer Success.Senior Software Engineer - Rust. Remote. SkillBridge Intern - Product Manager.
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,jungroup,Jobs at Jun Group,,,https://job-boards.greenhouse.io/jungroup,ddg::https://job-boards.greenhouse.io/jungroup,,"PlatformEngineer. New York, NY.PlatformEngineer(Remote / Contract)."
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,hiddenlayer,Full Stack Cloud Engineer (AI Security Platform),,,https://job-boards.greenhouse.io/hiddenlayer/jobs/5100067007,ddg::https://job-boards.greenhouse.io/hiddenlayer/jobs/5100067007,,9 hours ago·Full Stack Cloud Engineer (AI Security Platform) · Strong full-stack experience shipping and operating production software. · Proficiency with Go and/or Python ( ...
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,clickhouse?error=true,Jobs at ClickHouse,,,https://job-boards.greenhouse.io/clickhouse?error=true,ddg::https://job-boards.greenhouse.io/clickhouse?error=true,,CloudPlatformEngineer- Control Plane.CloudSoftwareEngineer- Observability Platform. United States (remote). Core SoftwareEngineer(C++) - Remote.
2026-04-07 01:33:22,ddg:job-boards.greenhouse.io,kunai?error=true,Jobs at Kunai,,,https://job-boards.greenhouse.io/kunai?error=true,ddg::https://job-boards.greenhouse.io/kunai?error=true,,"CloudEngineer(Azure/GCP). Remote - Mexico.Senior Cloud EngineerNew. Remote - United States. Senior Data Engineer, working in AWS."
