collected_at_utc,source_type,company,title,location,team,url,external_id,posted_at,description_snippet
2026-04-06 22:41:08,serp:jobs.lever.co,panopto,DevOps Engineer,,,https://jobs.lever.co/panopto/4a6efe88-2552-4e99-a5c9-efe9b2517b89,serp::https://jobs.lever.co/panopto/4a6efe88-2552-4e99-a5c9-efe9b2517b89,,"DevOps Engineer. Remote - US. Research & Development – Engineering ... Remote, US: Candidates looking for flexible or remote-friendly positions are ..."
2026-04-06 22:41:08,serp:jobs.lever.co,espresso,DevOps Engineer,,,https://jobs.lever.co/Espresso/928cd4da-e76d-4d6a-ba58-fba57e6ae81a,serp::https://jobs.lever.co/Espresso/928cd4da-e76d-4d6a-ba58-fba57e6ae81a,,DevOps Engineer. Remote. Engineering – Infrastructure /. Full-time /. Remote. apply for this job. Espresso Systems builds foundational infrastructure to power ...
2026-04-06 22:41:08,serp:jobs.lever.co,jobgether,Lead DevOps Engineer,,,https://jobs.lever.co/jobgether/665c1915-390f-41f3-b08a-08e32531c66a,serp::https://jobs.lever.co/jobgether/665c1915-390f-41f3-b08a-08e32531c66a,,Lead DevOps Engineer - Remote ; Accountabilities. Lead the development and execution of a strategic technology roadmap aligned with business goals. · Oversee the ...
2026-04-06 22:41:08,serp:jobs.lever.co,jobgether,Sr. DevOps Engineer (Remote),,,https://jobs.lever.co/jobgether/388870c7-52d2-4db1-aaaf-7a749810ffcf,serp::https://jobs.lever.co/jobgether/388870c7-52d2-4db1-aaaf-7a749810ffcf,,"We are currently looking for a Senior Staff DevOps Engineer - REMOTE. In this pivotal role, you will be responsible for designing and optimizing cloud-based ..."
2026-04-06 22:41:08,serp:jobs.lever.co,chownow,Senior DevOps Engineer,,,https://jobs.lever.co/chownow/8d104eff-da42-4e69-b28f-5e8a3f329cac,serp::https://jobs.lever.co/chownow/8d104eff-da42-4e69-b28f-5e8a3f329cac,,"Senior DevOps Engineer. Remote ... This is a remote position located in the United States, and will report to an Engineering Manager; No direct reports."
2026-04-06 22:41:08,serp:jobs.lever.co,olo,Senior DevOps Engineer,,,https://jobs.lever.co/olo/a6638069-48c8-4db7-9a6a-b5cf2fc49629,serp::https://jobs.lever.co/olo/a6638069-48c8-4db7-9a6a-b5cf2fc49629,,"Senior DevOps Engineer. Belfast, Northern Ireland, Remote. Platform Engineering – Developer Productivity /. Full-Time /. Remote. apply for this job. Olo is a ..."
2026-04-06 22:41:08,serp:jobs.lever.co,quokka,DevOps Engineer,,,https://jobs.lever.co/quokka/f9ec8f4e-e18f-436a-9da2-875739db2c3e,serp::https://jobs.lever.co/quokka/f9ec8f4e-e18f-436a-9da2-875739db2c3e,,DevOps Engineer. Remote. Research & Development – Engineering /. Full-time /. Remote. apply for this job. Quokka is an enterprise mobile security company ...
2026-04-06 22:41:08,serp:jobs.lever.co,pointclickcare,Intermediate AI-Enabled DevOps Engineer,,,https://jobs.lever.co/pointclickcare/94b85a28-9893-48c5-a2bb-a50175887ef1,serp::https://jobs.lever.co/pointclickcare/94b85a28-9893-48c5-a2bb-a50175887ef1,,"For Remote Roles: If this role is remote, there will be in-office events ... As an Intermediate DevOps Engineer, you will build, operate, support cloud ..."
2026-04-06 22:41:08,serp:jobs.lever.co,verifiable,Salesforce DevOps Engineer,,,https://jobs.lever.co/verifiable/d73c43ff-6803-4b5e-972f-0f7afd923f21,serp::https://jobs.lever.co/verifiable/d73c43ff-6803-4b5e-972f-0f7afd923f21,,Salesforce DevOps Engineer. Remote. Engineering /. Full Time /. Remote. apply for this job. About Us: Verifiable is a provider credentialing and network ...
2026-04-06 22:41:08,serp:jobs.lever.co,infstones,DevOps Engineer,,,https://jobs.lever.co/infstones/cd08991a-0d51-4a3d-b3cb-80d80108079f,serp::https://jobs.lever.co/infstones/cd08991a-0d51-4a3d-b3cb-80d80108079f,,"DevOps Engineer. Texas. DEVELOPMENT – 3.1 DOS /. Full-time /. Hybrid. apply ... Location: Dallas, TX, USA (Remote Acceptable - USA Applicants Only). Company ..."
